"GENDER","bin","xbin","qname","y","lo","md","hi"
"F","0.25",0.246218393097163,"q0.05",15.84,12.18091,17.5108,22.291715
"F","0.25",0.246218393097163,"q0.5",29.6,25.918925,31.2965,38.878975
"F","0.25",0.246218393097163,"q0.95",71.96,43.79768,56.3234,81.2444899999999
"F","0.5",0.498947234599624,"q0.05",26.92,22.54126,31.6082,40.724825
"F","0.5",0.498947234599624,"q0.5",55.7,44.833375,55.3395,68.313725
"F","0.5",0.498947234599624,"q0.95",126.8,76.62955,97.218,132.41075
"F","1",0.997678023003406,"q0.05",49.16,40.567025,51.4,65.106935
"F","1",0.997678023003406,"q0.5",81.7,73.29795,85.281,100.006175
"F","1",0.997678023003406,"q0.95",191.8,111.2945,143.787,190.16395
"F","1.5",1.53135913915911,"q0.05",59.14,49.00094,62.6656,80.31965
"F","1.5",1.53135913915911,"q0.5",99.8,86.508775,102.365,116.9845
"F","1.5",1.53135913915911,"q0.95",197.4,136.5894,163.998,204.5171
"F","2",2.01478497788838,"q0.05",61.46,55.010415,69.4599,87.12272
"F","2",2.01478497788838,"q0.5",107,94.9423,109.92,130.11
"F","2",2.01478497788838,"q0.95",211.8,135.9434,173.841,210.02945
"F","2.5",2.59333449674083,"q0.05",66.78,57.1618,71.9822,88.900365
"F","2.5",2.59333449674083,"q0.5",105,97.01055,112.085,128.546
"F","2.5",2.59333449674083,"q0.95",216.6,146.1253,172.941,211.09065
"F","3",3.03197151284996,"q0.05",79.16,59.62838,73.2949,89.47122
"F","3",3.03197151284996,"q0.5",108,96.950825,112.9,130.1865
"F","3",3.03197151284996,"q0.95",213.6,138.57455,167.725,202.6375
"F","4",3.95266893260898,"q0.05",73.24,60.11791,71.6101,85.541395
"F","4",3.95266893260898,"q0.5",96,91.960875,105.45,119.75925
"F","4",3.95266893260898,"q0.95",174.6,131.8985,154.097,182.52325
"F","6",6.02475910763027,"q0.05",66.28,52.739645,62.9609,72.32024
"F","6",6.02475910763027,"q0.5",81,77.952025,88.2925,97.5981
"F","6",6.02475910763027,"q0.95",133,106.7326,126.052,145.59035
"F","8",7.89034655767002,"q0.05",51.82,40.19641,50.3195,60.822425
"F","8",7.89034655767002,"q0.5",70.6,66.049225,73.044,83.117275
"F","8",7.89034655767002,"q0.95",121.2,87.911275,103.9728,120.916555
"F","12",12.094343424399,"q0.05",22.56,17.04907,27.952,38.6609
"F","12",12.094343424399,"q0.5",48,42.18455,49.6825,56.38225
"F","12",12.094343424399,"q0.95",74.34,64.288325,73.5568,92.08307
"M","0.25",0.25026537696333,"q0.05",22.12,13.037055,17.0305,21.426975
"M","0.25",0.25026537696333,"q0.5",26.7,24.144225,29.596,34.647575
"M","0.25",0.25026537696333,"q0.95",50.66,41.97569,51.0857,66.9864799999999
"M","0.5",0.500959092755701,"q0.05",33.82,23.2351,29.0195,36.454235
"M","0.5",0.500959092755701,"q0.5",47.9,41.574625,49.902,58.008175
"M","0.5",0.500959092755701,"q0.95",63.72,67.442135,80.2719,100.46846
"M","1",0.987668628754989,"q0.05",49.4,33.812765,43.8367,51.176065
"M","1",0.987668628754989,"q0.5",66.1,59.28845,68.606,79.02525
"M","1",0.987668628754989,"q0.95",92.82,85.986325,102.7653,127.15955
"M","1.5",1.50915023619354,"q0.05",51.62,39.49071,48.4498,56.37523
"M","1.5",1.50915023619354,"q0.5",71.6,62.527575,71.196,79.672275
"M","1.5",1.50915023619354,"q0.95",106.6,86.62688,101.626,122.18
"M","2",1.96037799723549,"q0.05",47.6,38.87085,45.2423,53.09358
"M","2",1.96037799723549,"q0.5",69.2,59.363425,65.66,73.606375
"M","2",1.96037799723549,"q0.95",84.94,78.449395,93.2559,117.10784
"M","2.5",2.47248698754272,"q0.05",35.8,31.31706,39.4756,47.03885
"M","2.5",2.47248698754272,"q0.5",60.4,52.152175,57.9685,64.61535
"M","2.5",2.47248698754272,"q0.95",84.36,69.79385,83.1767,96.0860949999999
"M","3",2.95096876320047,"q0.05",36.88,24.30225,31.8281,38.259475
"M","3",2.95096876320047,"q0.5",53.3,43.3377,50.4745,56.323975
"M","3",2.95096876320047,"q0.95",68.12,62.789135,72.1897,88.613625
"M","4",4.07049954078874,"q0.05",19.2,10.622436,17.6003,24.962925
"M","4",4.07049954078874,"q0.5",34.5,28.9979,34.696,40.3116
"M","4",4.07049954078874,"q0.95",53.8,44.96768,54.9894,65.217755
"M","6",6.07497445857484,"q0.05",5.506,1.7858365,4.24927,8.364022
"M","6",6.07497445857484,"q0.5",13.4,11.680525,14.9125,19.4175
"M","6",6.07497445857484,"q0.95",34.14,24.291565,31.2598,40.420935
"M","8",8.19398987673238,"q0.05",1.498,0.29774575,0.94,2.3344585
"M","8",8.19398987673238,"q0.5",4.7,3.95987,5.9258,8.50761499999999
"M","8",8.19398987673238,"q0.95",20.2,12.308515,18.2827,27.238725
"M","12",11.9894875670301,"q0.05",0.08492,0.006137064,0.0431162,0.17771885
"M","12",11.9894875670301,"q0.5",0.601,0.46796925,0.836405,1.5754375
"M","12",11.9894875670301,"q0.95",6.174,3.426585,6.17953,12.6409855
